IDSK,DATA,DIA,DIASEMANA,MES,NOMEMES,QUARTO,NOMEQUARTO,ANO,ESTACAOANO,FIMSEMANA,DATACOMPLETA
50000,1950-01-01,01,Domingo,01,Janeiro,1,Primeiro,1950,Verão,Sim,19500101
50001,1950-01-02,02,Segunda,01,Janeiro,1,Primeiro,1950,Verão,Não,19500102
50002,1950-01-03,03,Terça,01,Janeiro,1,Primeiro,1950,Verão,Não,19500103
50003,1950-01-04,04,Quarta,01,Janeiro,1,Primeiro,1950,Verão,Não,19500104
50004,1950-01-05,05,Quinta,01,Janeiro,1,Primeiro,1950,Verão,Não,19500105
50005,1950-01-06,06,Sexta,01,Janeiro,1,Primeiro,1950,Verão,Não,19500106
50006,1950-01-07,07,Sábado,01,Janeiro,1,Primeiro,1950,Verão,Sim,19500107
50007,1950-01-08,08,Domingo,01,Janeiro,1,Primeiro,1950,Verão,Sim,19500108
50008,1950-01-09,09,Segunda,01,Janeiro,1,Primeiro,1950,Verão,Não,19500109
50009,1950-01-10,10,Terça,01,Janeiro,1,Primeiro,1950,Verão,Não,19500110
50010,1950-01-11,11,Quarta,01,Janeiro,1,Primeiro,1950,Verão,Não,19500111
50011,1950-01-12,12,Quinta,01,Janeiro,1,Primeiro,1950,Verão,Não,19500112
50012,1950-01-13,13,Sexta,01,Janeiro,1,Primeiro,1950,Verão,Não,19500113
50013,1950-01-14,14,Sábado,01,Janeiro,1,Primeiro,1950,Verão,Sim,19500114
50014,1950-01-15,15,Domingo,01,Janeiro,1,Primeiro,1950,Verão,Sim,19500115
50015,1950-01-16,16,Segunda,01,Janeiro,1,Primeiro,1950,Verão,Não,19500116
50016,1950-01-17,17,Terça,01,Janeiro,1,Primeiro,1950,Verão,Não,19500117
50017,1950-01-18,18,Quarta,01,Janeiro,1,Primeiro,1950,Verão,Não,19500118
50018,1950-01-19,19,Quinta,01,Janeiro,1,Primeiro,1950,Verão,Não,19500119
50019,1950-01-20,20,Sexta,01,Janeiro,1,Primeiro,1950,Verão,Não,19500120
50020,1950-01-21,21,Sábado,01,Janeiro,1,Primeiro,1950,Verão,Sim,19500121
50021,1950-01-22,22,Domingo,01,Janeiro,1,Primeiro,1950,Verão,Sim,19500122
50022,1950-01-23,23,Segunda,01,Janeiro,1,Primeiro,1950,Verão,Não,19500123
50023,1950-01-24,24,Terça,01,Janeiro,1,Primeiro,1950,Verão,Não,19500124
50024,1950-01-25,25,Quarta,01,Janeiro,1,Primeiro,1950,Verão,Não,19500125
50025,1950-01-26,26,Quinta,01,Janeiro,1,Primeiro,1950,Verão,Não,19500126
50026,1950-01-27,27,Sexta,01,Janeiro,1,Primeiro,1950,Verão,Não,19500127
50027,1950-01-28,28,Sábado,01,Janeiro,1,Primeiro,1950,Verão,Sim,19500128
50028,1950-01-29,29,Domingo,01,Janeiro,1,Primeiro,1950,Verão,Sim,19500129
50029,1950-01-30,30,Segunda,01,Janeiro,1,Primeiro,1950,Verão,Não,19500130
50030,1950-01-31,31,Terça,01,Janeiro,1,Primeiro,1950,Verão,Não,19500131
50031,1950-02-01,01,Quarta,02,Fevereiro,1,Primeiro,1950,Verão,Não,19500201
50032,1950-02-02,02,Quinta,02,Fevereiro,1,Primeiro,1950,Verão,Não,19500202
50033,1950-02-03,03,Sexta,02,Fevereiro,1,Primeiro,1950,Verão,Não,19500203
50034,1950-02-04,04,Sábado,02,Fevereiro,1,Primeiro,1950,Verão,Sim,19500204
50035,1950-02-05,05,Domingo,02,Fevereiro,1,Primeiro,1950,Verão,Sim,19500205
50036,1950-02-06,06,Segunda,02,Fevereiro,1,Primeiro,1950,Verão,Não,19500206
50037,1950-02-07,07,Terça,02,Fevereiro,1,Primeiro,1950,Verão,Não,19500207
50038,1950-02-08,08,Quarta,02,Fevereiro,1,Primeiro,1950,Verão,Não,19500208
50039,1950-02-09,09,Quinta,02,Fevereiro,1,Primeiro,1950,Verão,Não,19500209
50040,1950-02-10,10,Sexta,02,Fevereiro,1,Primeiro,1950,Verão,Não,19500210
50041,1950-02-11,11,Sábado,02,Fevereiro,1,Primeiro,1950,Verão,Sim,19500211
50042,1950-02-12,12,Domingo,02,Fevereiro,1,Primeiro,1950,Verão,Sim,19500212
50043,1950-02-13,13,Segunda,02,Fevereiro,1,Primeiro,1950,Verão,Não,19500213
50044,1950-02-14,14,Terça,02,Fevereiro,1,Primeiro,1950,Verão,Não,19500214
50045,1950-02-15,15,Quarta,02,Fevereiro,1,Primeiro,1950,Verão,Não,19500215
50046,1950-02-16,16,Quinta,02,Fevereiro,1,Primeiro,1950,Verão,Não,19500216
50047,1950-02-17,17,Sexta,02,Fevereiro,1,Primeiro,1950,Verão,Não,19500217
50048,1950-02-18,18,Sábado,02,Fevereiro,1,Primeiro,1950,Verão,Sim,19500218
