IDNOTA,IDCLIENTE,IDVENDEDOR,IDFORMA,IDPRODUTO,IDFORNECEDOR,IDTEMPO,QUANTIDADE
2,297,7,22,150,16,73806,3
2,297,7,22,29,4,73806,3
4,212,17,2,193,19,73942,2
6,552,18,21,112,41,73924,1
8,348,9,7,232,36,73842,2
10,283,10,6,44,10,74090,1
12,290,2,17,113,41,73911,1
14,976,8,7,221,35,73797,4
16,498,19,4,111,25,73804,5
16,498,19,4,147,26,73804,2
16,498,19,4,185,27,73804,2
18,370,9,19,130,18,73954,5
20,162,9,2,31,6,73810,4
20,162,9,2,179,39,73810,3
22,249,9,4,131,25,74083,1
24,571,14,26,90,17,74091,3
24,571,14,26,228,34,74091,2
24,571,14,26,61,12,74091,5
26,29,18,6,111,25,73990,1
28,333,16,3,141,24,73755,1
30,386,3,19,147,26,73880,3
30,386,3,19,110,25,73880,2
30,386,3,19,44,10,73880,3
32,981,12,1,200,27,73955,3
34,219,21,14,68,13,73932,1
34,219,21,14,70,14,73932,1
34,219,21,14,79,17,73932,3
56,797,5,23,170,13,73878,1
57,474,12,15,80,18,73755,4
58,768,6,9,115,41,74054,5
59,208,5,20,63,12,73987,3
59,208,5,20,140,24,73987,3
59,208,5,20,115,41,73987,3
59,208,5,20,64,12,73987,3
59,208,5,20,54,9,73987,1
60,702,22,21,20,4,74024,4
60,702,22,21,37,8,74024,2
61,753,10,13,119,18,73978,3
62,824,12,17,41,9,73876,4
63,397,16,25,153,22,74028,1
64,421,20,9,148,13,73866,3
64,421,20,9,54,9,73866,4
65,468,10,3,66,13,73796,1
66,511,19,18,120,18,73944,3
66,511,19,18,156,40,73944,4
67,432,11,20,171,13,73878,1
68,594,14,10,23,7,73933,1
69,367,6,21,232,36,74037,1
70,34,5,22,63,12,73973,2
70,34,5,22,24,7,73973,1
70,34,5,22,167,14,73973,3
70,34,5,22,147,26,73973,1
71,863,6,14,131,25,74003,4
72,174,20,14,25,5,73861,4
73,564,17,8,18,6,73947,1
74,64,17,12,103,13,73861,4
75,358,1,11,185,27,73756,1
77,643,16,25,165,14,73779,4
79,440,20,16,78,17,74078,3
79,440,20,16,186,27,74078,1
81,504,13,5,16,4,74031,4
83,748,16,5,188,28,73887,1
85,289,8,12,137,23,73811,1
87,174,2,21,146,26,73831,4
89,915,8,23,154,40,74064,1
91,772,4,21,230,35,73872,1
93,463,21,12,68,13,73966,1
95,649,12,26,147,26,73925,1
97,979,19,13,122,22,73943,1
99,767,19,9,137,23,74066,3
99,767,19,9,226,34,74066,2
101,436,3,1,176,25,73847,2
101,436,3,1,142,24,73847,5
101,436,3,1,79,17,73847,4
103,29,8,2,198,38,73998,5
105,633,10,15,197,20,73753,3
105,633,10,15,118,18,73753,3
107,249,21,11,112,41,74075,1
107,249,21,11,48,9,74075,2
107,249,21,11,228,34,74075,4
109,103,13,14,231,36,74008,4
111,22,5,7,154,40,73940,4
133,494,24,3,123,22,74017,1
134,691,8,22,123,22,74031,1
135,1,21,14,141,24,73772,1
135,1,21,14,12,2,73772,2
136,767,23,23,89,23,73884,2
136,767,23,23,144,26,73884,2
137,351,12,19,99,25,74033,4
137,351,12,19,183,18,74033,1
138,31,21,1,79,17,73766,2
138,31,21,1,90,17,73766,2
139,340,22,12,164,14,73910,1
140,952,24,1,187,28,73816,3
140,952,24,1,72,15,73816,1
141,978,22,13,79,17,73979,1
142,99,16,20,188,28,73842,1
142,99,16,20,158,40,73842,2
143,530,12,21,62,12,73811,4
144,646,18,13,116,41,74092,2
145,750,16,17,90,17,73747,1
146,92,12,24,4,1,73806,2
147,612,8,17,69,13,73985,1
148,360,23,3,127,37,74086,5
148,360,23,3,94,17,74086,4
149,13,21,3,108,21,73993,2
150,88,6,24,138,24,73978,2
150,88,6,24,134,21,73978,3
151,329,3,14,230,35,74067,2
152,868,1,21,48,9,74009,1
154,662,2,19,166,14,73989,1
154,662,2,19,201,27,73989,2
154,662,2,19,93,17,73989,4
154,662,2,19,140,24,73989,4
156,175,23,3,31,6,73994,2
158,377,1,9,108,21,73923,3
158,377,1,9,44,10,73923,2
158,377,1,9,128,37,73923,2
160,194,24,13,167,14,74038,4
162,369,4,25,140,24,73970,1
164,391,1,21,213,32,73999,2
166,381,3,13,37,8,73789,1
168,883,14,21,200,27,73751,5
170,700,20,16,127,37,74037,3
172,215,12,16,149,26,73802,1
174,125,22,4,116,41,73943,2
176,289,13,6,129,37,73747,4
176,289,13,6,128,37,73747,1
178,928,14,21,51,9,73941,4
178,928,14,21,224,34,73941,5
180,721,4,22,112,41,74056,1
182,441,9,9,135,21,73894,1
184,940,4,12,22,5,73884,1
186,703,2,4,173,38,73774,1
188,174,2,1,93,17,73956,4
210,121,1,3,42,9,73885,3
211,386,20,17,129,37,73928,1
212,512,23,19,137,23,73946,4
212,512,23,19,92,17,73946,3
213,295,4,12,67,13,73808,1
213,295,4,12,190,28,73808,2
214,331,1,10,117,41,73757,4
215,664,15,6,115,41,74032,1
216,960,1,22,216,33,74061,1
217,47,21,25,90,17,73836,2
218,147,22,18,19,7,73743,1
219,386,17,7,105,21,73979,1
220,385,13,11,126,37,73938,3
221,403,7,24,172,25,74101,2
221,403,7,24,68,13,74101,5
222,609,3,16,215,33,73957,2
222,609,3,16,193,19,73957,4
223,257,6,13,185,27,73832,3
224,647,14,3,86,18,73967,2
225,634,16,16,28,7,73992,1
226,845,13,13,189,29,73847,1
227,755,11,4,232,36,73935,3
227,755,11,4,39,8,73935,3
227,755,11,4,69,13,73935,1
228,791,3,5,117,41,73898,1
229,359,5,17,46,10,74085,2
229,359,5,17,67,13,74085,4
231,553,13,17,15,3,73958,3
231,553,13,17,73,15,73958,3
233,707,11,25,134,21,74097,4
235,455,18,25,221,35,74081,4
237,882,1,2,30,6,73813,1
239,527,24,22,97,25,73750,4
241,910,2,23,225,34,73934,1
243,258,22,24,56,11,74078,5
243,258,22,24,90,17,74078,3
245,237,21,5,173,38,73988,1
247,462,5,11,91,17,74089,1
249,974,13,3,213,32,74008,2
251,370,4,13,80,18,73742,5
253,428,4,26,99,25,73997,3
253,428,4,26,110,25,73997,5
255,448,11,21,218,34,73817,5
257,916,5,5,49,10,73923,1
259,965,17,26,84,18,73942,4
259,965,17,26,134,21,73942,5
261,113,19,1,115,41,73995,5
263,880,13,24,60,11,73789,1
265,984,7,20,135,21,73897,4
287,220,3,4,132,13,73857,1
288,355,5,6,201,27,74079,1
289,179,10,24,182,18,74058,5
289,179,10,24,226,34,74058,2
290,196,11,22,84,18,73864,1
291,48,17,18,129,37,74087,1
292,435,24,25,145,13,73849,3
292,435,24,25,122,22,73849,3
292,435,24,25,104,13,73849,2
293,10,13,14,51,9,73904,4
293,10,13,14,228,34,73904,2
293,10,13,14,173,38,73904,1
293,10,13,14,202,38,73904,2
293,10,13,14,97,25,73904,3
294,79,10,24,46,10,74081,4
295,269,22,23,191,19,73741,1
296,718,18,14,20,4,73872,2
296,718,18,14,100,25,73872,2
297,567,23,22,219,36,74001,1
298,370,1,19,222,33,73844,3
299,63,9,25,87,23,73752,4
299,63,9,25,87,23,73752,3
300,887,15,5,72,15,73941,1
300,887,15,5,72,15,73941,1
301,138,23,21,67,13,73846,1
302,310,14,16,215,33,73873,1
303,68,8,7,193,19,73782,3
303,68,8,7,228,34,73782,4
304,6,15,1,179,39,74056,3
304,6,15,1,74,16,74056,2
305,153,20,25,96,25,73814,4
306,274,19,2,131,25,74056,1
308,393,12,21,169,13,73881,4
310,502,18,25,114,41,74091,4
312,1,23,1,191,19,73868,1
314,323,1,14,221,35,73803,1
316,535,3,26,18,6,73955,1
318,732,17,9,225,34,73876,1
318,732,17,9,80,18,73876,2
318,732,17,9,19,7,73876,1
318,732,17,9,85,18,73876,3
320,465,9,20,21,4,73894,1
322,907,5,24,143,21,73803,1
324,706,9,13,7,22,73896,2
326,671,23,17,166,14,73793,3
328,795,14,7,46,10,74021,1
330,404,10,26,108,21,73797,3
332,885,6,20,77,16,73821,3
334,136,19,16,62,12,74047,1
336,470,19,14,2,1,73805,4
338,91,1,4,168,13,73978,2
340,610,10,1,192,29,73987,3
342,106,19,23,11,22,73908,3
364,707,14,20,217,34,73744,1
365,556,19,19,165,14,73822,1
366,858,23,16,147,26,73963,2
367,717,1,23,221,35,73767,4
368,82,4,16,143,21,74062,1
369,899,19,13,42,9,73901,1
369,899,19,13,75,16,73901,2
370,836,4,13,182,18,73836,3
371,42,15,12,13,2,73870,5
372,891,1,20,189,29,74087,1
373,625,10,26,115,41,73809,2
373,625,10,26,183,18,73809,3
373,625,10,26,9,22,73809,1
374,912,9,11,190,28,73984,2
375,446,23,11,216,33,73758,4
376,234,19,24,16,4,73943,3
377,879,23,7,200,27,73947,1
378,657,9,8,79,17,73796,1
379,977,12,7,154,40,74081,5
380,819,13,7,41,9,74062,1
381,841,16,17,208,31,73800,1
382,618,9,22,91,17,74047,1
382,618,9,22,215,33,74047,5
382,618,9,22,205,31,74047,4
382,618,9,22,92,17,74047,5
383,733,19,3,20,4,74052,3
383,733,19,3,183,18,74052,3
385,732,23,23,187,28,73963,4
385,732,23,23,50,10,73963,1
387,412,4,25,80,18,74099,4
389,647,17,25,217,34,73939,4
391,402,24,6,128,37,74026,2
391,402,24,6,85,18,74026,1
393,189,10,7,44,10,73886,1
395,978,14,15,158,40,74097,1
397,904,5,17,180,39,73971,1
399,566,16,13,211,31,73979,3
399,566,16,13,119,18,73979,2
401,933,22,1,82,18,73985,5
401,933,22,1,25,5,73985,4
403,919,8,2,177,13,74097,2
403,919,8,2,91,17,74097,4
403,919,8,2,96,25,74097,3
405,395,16,8,18,6,73877,4
407,7,13,21,29,4,73825,4
409,673,6,10,117,41,73857,2
409,673,6,10,149,26,73857,3
411,674,11,9,91,17,73796,1
413,5,21,18,100,25,73933,1
415,999,11,16,50,10,74076,2
417,90,19,9,194,19,73971,3
419,380,12,23,161,18,73755,1
441,375,17,4,179,39,73804,1
442,19,6,4,217,34,73939,1
443,193,14,25,5,1,73967,4
443,193,14,25,185,27,73967,2
443,193,14,25,70,14,73967,2
444,76,7,10,122,22,74071,4
444,76,7,10,70,14,74071,2
445,692,11,17,74,16,73835,4
446,223,1,6,219,36,73989,4
446,223,1,6,102,13,73989,3
447,965,1,6,132,13,73897,4
448,296,11,7,153,22,73806,1
449,154,15,13,1,1,74027,1
450,842,19,4,98,21,73849,1
451,106,11,21,125,23,74025,4
452,809,14,20,152,21,73835,1
453,231,5,23,56,11,73819,1
454,598,12,18,84,18,73794,3
455,279,3,7,44,10,73754,4
455,279,3,7,81,18,73754,3
456,527,11,21,217,34,73870,1
457,623,3,24,132,13,73974,4
457,623,3,24,99,25,73974,3
457,623,3,24,159,40,73974,4
458,918,7,4,99,25,73820,3
459,156,5,12,162,18,74054,2
460,310,14,10,175,39,73901,4
460,310,14,10,34,7,73901,2
462,471,17,13,150,16,73985,4
464,890,14,13,92,17,74101,1
466,830,18,5,216,33,74018,1
468,330,2,1,231,36,73785,1
470,731,11,3,12,2,73822,1
472,820,20,12,164,14,74071,1
474,940,21,10,93,17,74052,4
474,940,21,10,150,16,74052,3
476,242,13,19,55,9,74088,1
476,242,13,19,11,22,74088,3
478,876,18,24,15,3,73797,1
480,129,16,15,186,27,74083,1
482,678,5,8,197,20,73802,1
484,812,12,11,75,16,73873,4
486,537,19,7,175,39,73801,5
488,663,4,2,233,11,73794,2
490,159,9,13,49,10,73886,1
492,246,7,19,199,20,74034,2
492,246,7,19,182,18,74034,1
494,197,17,15,127,37,74036,4
496,828,24,5,185,27,73911,4
518,947,13,21,24,7,74078,4
518,947,13,21,117,41,74078,4
519,583,19,3,128,37,74058,1
519,583,19,3,15,3,74058,4
519,583,19,3,9,22,74058,5
519,583,19,3,40,8,74058,4
520,357,1,25,180,39,73819,5
521,369,23,22,15,3,73795,5
522,434,13,26,85,18,73835,1
523,535,2,11,50,10,73855,2
524,704,4,15,210,31,73792,5
525,621,11,21,76,16,73752,1
526,946,14,3,148,13,74046,5
